roundId,price,startedAt,updatedAt,answeredInRound
18446744073709575207,370728144,1720774656,1720774656,18446744073709575207
18446744073709575206,368816860,1720772315,1720772315,18446744073709575206
18446744073709575205,366649020,1720770756,1720770756,18446744073709575205
18446744073709575204,369230244,1720769914,1720769914,18446744073709575204
18446744073709575203,371369264,1720768833,1720768833,18446744073709575203
18446744073709575202,373280000,1720767963,1720767963,18446744073709575202
18446744073709575201,371386550,1720765022,1720765022,18446744073709575201
18446744073709575200,368969087,1720763431,1720763431,18446744073709575200
18446744073709575199,367129261,1720760640,1720760640,18446744073709575199
18446744073709575198,365170000,1720759530,1720759530,18446744073709575198
18446744073709575197,363311207,1720758630,1720758630,18446744073709575197
18446744073709575196,365600351,1720758449,1720758449,18446744073709575196
18446744073709575195,367520000,1720757789,1720757789,18446744073709575195
18446744073709575194,365217831,1720757489,1720757489,18446744073709575194
18446744073709575193,367080000,1720756018,1720756018,18446744073709575193
18446744073709575192,364814592,1720755658,1720755658,18446744073709575192
18446744073709575191,367018350,1720755328,1720755328,18446744073709575191
18446744073709575190,365108111,1720754908,1720754908,18446744073709575190
18446744073709575189,366950819,1720753887,1720753887,18446744073709575189
18446744073709575188,368900000,1720752987,1720752987,18446744073709575188
18446744073709575187,366974490,1720752387,1720752387,18446744073709575187
18446744073709575186,365121202,1720752116,1720752116,18446744073709575186
18446744073709575185,363296367,1720751096,1720751096,18446744073709575185
18446744073709575184,360716171,1720750676,1720750676,18446744073709575184
18446744073709575183,358845480,1720750286,1720750286,18446744073709575183
18446744073709575182,360900000,1720749685,1720749685,18446744073709575182
18446744073709575181,359090000,1720748575,1720748575,18446744073709575181
18446744073709575180,357260000,1720748275,1720748275,18446744073709575180
18446744073709575179,354777720,1720748005,1720748005,18446744073709575179
18446744073709575178,352871249,1720747255,1720747255,18446744073709575178
18446744073709575177,354924207,1720747134,1720747134,18446744073709575177
18446744073709575176,356963449,1720746954,1720746954,18446744073709575176
18446744073709575175,359537709,1720745876,1720745876,18446744073709575175
18446744073709575174,361450000,1720743743,1720743743,18446744073709575174
18446744073709575173,359610000,1720743113,1720743113,18446744073709575173
18446744073709575172,361702760,1720742813,1720742813,18446744073709575172
18446744073709575171,359810000,1720740924,1720740924,18446744073709575171
18446744073709575170,361644559,1720739781,1720739781,18446744073709575170
18446744073709575169,363525444,1720739151,1720739151,18446744073709575169
18446744073709575168,361624593,1720738824,1720738824,18446744073709575168
18446744073709575167,359786040,1720738193,1720738193,18446744073709575167
18446744073709575166,362380000,1720734561,1720734561,18446744073709575166
18446744073709575165,360557373,1720733088,1720733088,18446744073709575165
18446744073709575164,362540000,1720732520,1720732520,18446744073709575164
18446744073709575163,364431677,1720730177,1720730177,18446744073709575163
18446744073709575162,362605764,1720729937,1720729937,18446744073709575162
18446744073709575161,364822509,1720728949,1720728949,18446744073709575161
18446744073709575160,366807768,1720728136,1720728136,18446744073709575160
18446744073709575159,368705455,1720727776,1720727776,18446744073709575159
18446744073709575158,370822362,1720725855,1720725855,18446744073709575158
18446744073709575157,372900000,1720725345,1720725345,18446744073709575157
18446744073709575156,374896251,1720723664,1720723664,18446744073709575156
18446744073709575155,372785055,1720721713,1720721713,18446744073709575155
18446744073709575154,370841380,1720720963,1720720963,18446744073709575154
18446744073709575153,373133370,1720718472,1720718472,18446744073709575153
18446744073709575152,371160000,1720717631,1720717631,18446744073709575152
18446744073709575151,369073630,1720715261,1720715261,18446744073709575151
18446744073709575150,367218810,1720714390,1720714390,18446744073709575150
18446744073709575149,365145774,1720714120,1720714120,18446744073709575149
18446744073709575148,362970327,1720713910,1720713910,18446744073709575148
18446744073709575147,365278158,1720713040,1720713040,18446744073709575147
18446744073709575146,367733092,1720711959,1720711959,18446744073709575146
